"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","7.091810","0","6"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","1.353363","0","3"
"/Game/BPs/TVMats/M_TV7.M_TV7","0","8","8","1","34.674637","0","8"
"/Game/TokyoStylizedEnvironment/Materials/Master_Materials/M_BasicMat.M_BasicMat","0","3","3","1","3.444619","0","3"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","1.232782","0","3"
"/Game/TokyoStylizedEnvironment/Materials/Trim_Decal01/M_Decal01.M_Decal01","0","9","9","1","8.890864","0","9"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_BaseColorPalette1.M_BaseColorPalette1","0","18","21","1","18.312454","0","21"
"/Game/BPs/TrafficLightMats/ML_TrafficLight_Lit_Amber.ML_TrafficLight_Lit_Amber","0","3","3","1","2.488803","0","3"
"/Game/BPs/TrafficLightMats/ML_TrafficLight_Lit_Red.ML_TrafficLight_Lit_Red","0","3","3","1","0.000000","0","3"
"/Game/BPs/TrafficLightMats/ML_TrafficLight_Lit_Green.ML_TrafficLight_Lit_Green","0","3","3","1","0.000000","0","3"
"/Pedestrian_System/Demo_Content/PlayerCharacter/Animations/Mannequin/Character/Materials/M_Body.M_Body","0","6","6","1","5.685442","0","6"
"/Game/TokyoStylizedEnvironment/Materials/Foliage_Tree_Sakura/M_Sakura_Ground_Decal.M_Sakura_Ground_Decal","0","9","9","1","6.683585","0","9"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","43.976364","0","42"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","2.330238","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","1.353178","0","5"
"/Game/TokyoStylizedEnvironment/Materials/Tile_Glass/M_Glass_Opaque.M_Glass_Opaque","0","3","3","1","2.210804","0","3"
"/Game/BPs/TVMats/M_TV5.M_TV5","0","8","8","1","26.574938","0","8"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","6","6","1","6.169927","0","6"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","25","25","1","13.000515","0","25"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","4.792483","0","6"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","8.879246","0","10"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","6","7","1","7.778018","0","7"
"/MovieRenderPipeline/Blueprints/M_MoviePipelineRenderPreview.M_MoviePipelineRenderPreview","0","13","13","1","6.520175","0","13"
"/ControlRig/M_Manip.M_Manip","0","6","7","1","5.855844","0","7"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","4.265985","0","6"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","1.624556","0","0"
"Globals","49","10301","0","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","8","8","1","4.113656","0","8"
"","49","64","0","1","0.000000","65","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","8","8","1","5.318906","0","8"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","12","14","1","11.358653","0","14"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","19","21","1","17.372450","0","21"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","7","7","1","5.373197","0","7"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","10","11","1","6.395212","0","11"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","10","10","1","8.399245","0","10"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","7","7","1","5.322048","0","7"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","49","17","19","1","20.386238","0","19"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","49","11","11","1","11.845144","0","11"
"/MovieRenderPipeline/Materials/MoviePipeline_StencilCutout.MoviePipeline_StencilCutout","49","22","24","1","13.852979","0","24"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","27","27","1","25.153471","0","27"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","7","7","1","1.857902","0","7"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","7","7","1","1.003272","0","7"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","75","80","6","66.439758","0","80"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","72","78","1","61.461452","0","78"
"/MovieRenderPipeline/Materials/MovieRenderQueue_WorldDepth.MovieRenderQueue_WorldDepth","49","7","7","1","4.399670","0","7"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","92","92","1","0.000000","0","92"
"/MovieRenderPipeline/Materials/MovieRenderQueue_MotionVectors.MovieRenderQueue_MotionVectors","49","7","7","1","3.928086","0","7"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","9","9","1","5.463848","0","9"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","40","40","1","37.376953","0","40"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","45","45","1","19.128275","0","45"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","21","23","1","10.644883","0","23"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","11","12","1","11.331712","0","12"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","10","11","1","10.361133","0","11"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","42","45","1","34.998146","0","45"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","72","78","1","67.363960","0","78"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","42","45","1","0.000000","0","45"
